,D0V1,D0V2,D0V3,D0V4,D0V5,D0V6,D10S1,D10S2,D10S3,D10S4,D10S5,D10S6,D10SBd1,D10SBd2,D10SBd3,D10SBd4,D10SBd5,D10SBd6,D10V1,D10V3,D10V4,D10V5,D10V6,D10V7,D10VBd1,D10VBd2,D10VBd3,D10VBd4,D10VBd5,D10VBd6,D21S10,D21S11,D21S5,D21S7,D21S8,D21S9,D21SBd12,D21SBd13,D21SBd14,D21SBd7,D21SBd8,D21SBd9,D21V11,D21V12,D21V13,D21V14,D21V16,D21V7,D21VBd11,D21VBd13,D21VBd14,D21VBd7,D21VBd9
ASV64,916,168,391,352,164,56,0,0,11,0,16,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
ASV65,0,0,0,0,0,0,0,0,0,235,0,0,154,0,11,1630,118,0,9,0,8,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
ASV66,108,15,18,46,16,22,210,253,56,23,71,246,0,0,0,8,1,0,148,0,0,0,87,68,6,1,1,9,0,0,81,35,29,52,342,29,0,0,0,0,0,0,0,0,0,7,30,157,0,0,0,0,0
ASV67,27,0,5,9,0,0,160,172,107,0,145,178,0,0,0,0,0,0,288,17,11,21,129,50,0,0,0,0,0,0,78,0,362,0,102,0,8,0,0,0,0,0,0,23,0,37,10,175,0,0,0,0,0
ASV69,0,0,0,0,0,0,43,52,0,0,0,0,251,0,106,219,90,146,0,0,0,0,0,0,419,493,0,138,0,0,0,26,0,0,47,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV70,68,25,23,38,24,0,0,0,7,0,17,0,27,0,31,63,49,30,14,0,0,0,0,24,209,145,663,480,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,16,0,0
ASV71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,7,0,0,0,0,0,0,0,99,71,745,97,254,26,55,0,0,32,131,121,0,105,0,39,53,116,15,13,35,0,0
ASV72,0,0,0,0,0,0,167,75,132,25,202,99,0,0,0,0,0,0,299,20,52,0,31,94,0,0,0,0,0,0,91,17,444,219,35,0,0,0,0,0,0,0,0,24,0,0,0,47,0,0,0,0,0
ASV74,0,0,0,0,0,0,53,95,145,0,58,60,157,0,38,145,141,0,55,19,0,0,59,29,129,143,241,38,29,0,21,18,138,98,0,0,0,0,0,0,34,84,0,0,0,24,0,0,0,0,0,0,0
ASV78,0,0,0,0,0,0,200,132,237,36,0,106,0,0,17,50,58,38,0,0,0,0,0,0,207,93,47,89,0,0,47,91,186,86,47,0,12,0,0,0,27,43,0,83,0,0,0,0,0,26,21,0,0
